,b_goal_setting,a_goal_setting,b_environment_structuring,a_environment_structuring,b_task_strategies,a_task_strategies,b_time_management,a_time_management,b_help_seeking,a_help_seeking,b_self_evaluation,a_self_evaluation,b_rehearsal,a_rehearsal,b_elaboration,a_elaboration,b_organization,a_organization,b_critical_thinking,a_critical_thinking,b_metacognitive_selfregulation,a_metacognitive_selfregulation,b_math_self_efficacy,a_math_self_efficacy,b_internet_self_efficacy,a_internet_self_efficacy
107202016.0,33.0,31.0,28.0,28.0,24.0,10.0,20.0,3.0,28.0,4.0,25.0,16.0,24.0,28.0,38.0,42.0,25.0,28.0,32.0,35.0,62.0,72.0,32.0,35.0,24.0,28.0
107202503.0,30.0,30.0,23.0,23.0,18.0,23.0,17.0,19.0,21.0,23.0,20.0,24.0,22.0,23.0,34.0,37.0,24.0,24.0,28.0,30.0,62.0,64.0,29.0,31.0,23.0,25.0
107203002.0,28.0,28.0,20.0,24.0,15.0,16.0,12.0,13.0,21.0,19.0,17.0,22.0,21.0,22.0,32.0,33.0,24.0,17.0,25.0,24.0,56.0,57.0,26.0,23.0,23.0,23.0
107203016.0,30.0,29.0,24.0,22.0,20.0,20.0,18.0,17.0,25.0,22.0,25.0,22.0,24.0,24.0,34.0,30.0,25.0,22.0,33.0,27.0,66.0,60.0,26.0,27.0,23.0,22.0
107203504.0,30.0,30.0,23.0,24.0,21.0,20.0,15.0,17.0,22.0,19.0,19.0,21.0,24.0,21.0,35.0,30.0,24.0,21.0,28.0,28.0,64.0,61.0,26.0,25.0,24.0,20.0
107203505.0,24.0,26.0,24.0,22.0,18.0,18.0,13.0,13.0,17.0,17.0,20.0,16.0,20.0,17.0,30.0,25.0,22.0,20.0,25.0,22.0,60.0,55.0,21.0,20.0,20.0,18.0
107203507.0,28.0,23.0,20.0,23.0,15.0,17.0,14.0,11.0,22.0,16.0,21.0,18.0,18.0,18.0,32.0,31.0,23.0,17.0,28.0,23.0,58.0,50.0,23.0,22.0,23.0,22.0
107206002.0,23.0,22.0,26.0,17.0,19.0,17.0,14.0,13.0,26.0,18.0,22.0,18.0,21.0,17.0,35.0,26.0,24.0,17.0,27.0,21.0,53.0,46.0,26.0,20.0,16.0,17.0
107206003.0,22.0,20.0,22.0,16.0,13.0,17.0,12.0,17.0,20.0,17.0,14.0,22.0,20.0,16.0,30.0,29.0,19.0,17.0,24.0,22.0,54.0,48.0,25.0,20.0,24.0,16.0
107206502.0,25.0,25.0,20.0,19.0,19.0,18.0,15.0,14.0,20.0,18.0,19.0,18.0,20.0,19.0,30.0,27.0,19.0,18.0,24.0,21.0,58.0,57.0,16.0,20.0,20.0,18.0
107206515.0,25.0,22.0,22.0,27.0,12.0,10.0,11.0,11.0,20.0,16.0,10.0,17.0,17.0,17.0,32.0,25.0,16.0,20.0,24.0,23.0,54.0,50.0,21.0,20.0,17.0,21.0
107206516.0,35.0,32.0,28.0,28.0,25.0,27.0,18.0,19.0,27.0,27.0,28.0,25.0,27.0,27.0,42.0,37.0,28.0,26.0,30.0,32.0,75.0,67.0,34.0,31.0,22.0,26.0
107206522.0,28.0,30.0,27.0,24.0,17.0,21.0,14.0,16.0,20.0,24.0,18.0,24.0,19.0,24.0,29.0,36.0,19.0,24.0,25.0,30.0,62.0,64.0,27.0,30.0,20.0,24.0
107206525.0,31.0,29.0,25.0,26.0,19.0,21.0,14.0,14.0,26.0,25.0,24.0,25.0,24.0,23.0,38.0,38.0,25.0,24.0,30.0,30.0,68.0,71.0,30.0,31.0,27.0,25.0
107206526.0,30.0,26.0,24.0,25.0,19.0,18.0,16.0,14.0,24.0,23.0,22.0,22.0,18.0,21.0,23.0,30.0,22.0,21.0,32.0,29.0,67.0,51.0,30.0,28.0,28.0,28.0
107208001.0,30.0,25.0,23.0,23.0,20.0,21.0,13.0,14.0,23.0,22.0,17.0,17.0,21.0,20.0,31.0,33.0,24.0,23.0,21.0,25.0,53.0,56.0,20.0,22.0,19.0,20.0
