,b_goal_setting,a_goal_setting,b_environment_structuring,a_environment_structuring,b_task_strategies,a_task_strategies,b_time_management,a_time_management,b_help_seeking,a_help_seeking,b_self_evaluation,a_self_evaluation,b_rehearsal,a_rehearsal,b_elaboration,a_elaboration,b_organization,a_organization,b_critical_thinking,a_critical_thinking,b_metacognitive_selfregulation,a_metacognitive_selfregulation,b_math_self_efficacy,a_math_self_efficacy,b_internet_self_efficacy,a_internet_self_efficacy
104206026.0,4.6,4.0,5.0,4.75,3.75,3.0,3.333333333333333,3.333333333333333,3.5,4.5,4.25,3.75,3.25,4.0,4.333333333333333,4.166666666666667,4.25,4.25,4.6,4.6,4.333333333333333,3.75,4.0,4.0,4.25,5.25
107202020.0,7.0,6.4,7.0,6.5,7.0,6.25,6.666666666666668,7.0,6.5,6.25,6.25,6.25,6.5,6.0,6.5,6.166666666666668,6.25,6.75,6.6,6.6,5.166666666666667,5.583333333333332,6.0,6.6,6.5,6.5
107206006.0,5.0,6.0,5.5,5.0,4.25,5.0,5.0,5.0,6.0,5.5,5.75,5.5,5.5,5.5,5.333333333333333,5.166666666666667,5.75,5.5,6.0,5.6,4.833333333333333,4.583333333333333,6.0,5.8,6.0,6.25
107206012.0,5.6,5.8,5.0,5.75,4.75,5.25,5.333333333333333,5.333333333333333,6.0,6.25,6.0,5.0,4.5,6.0,5.833333333333332,6.333333333333332,4.75,5.5,6.2,6.0,4.75,5.166666666666667,5.6,6.0,6.5,5.5
107206505.0,5.0,4.0,5.25,4.0,3.0,4.0,4.0,4.0,6.25,4.0,4.25,4.0,4.0,4.0,4.0,4.0,4.25,4.0,3.8,4.0,3.9166666666666665,4.0,3.6,4.0,4.75,4.0
107206508.0,6.0,6.4,6.25,6.5,5.5,4.75,5.666666666666668,4.333333333333333,6.5,7.0,6.75,6.5,6.25,5.75,6.0,6.0,6.75,6.75,5.8,6.0,5.583333333333332,5.583333333333332,5.6,5.4,6.75,7.0
107206509.0,5.4,7.0,5.0,7.0,4.0,5.25,4.666666666666667,6.0,5.0,7.0,4.75,6.25,5.0,6.0,5.0,6.0,6.0,6.0,4.2,5.0,5.333333333333333,5.083333333333333,5.2,5.4,7.0,7.0
107206513.0,4.8,4.4,5.0,5.0,3.5,3.5,4.0,4.0,5.25,4.75,5.25,4.5,4.5,4.25,5.0,4.166666666666667,4.75,4.5,4.6,4.6,4.416666666666667,4.166666666666667,3.6,3.6,4.25,4.0
107302004.0,6.0,5.0,5.5,4.25,3.5,3.75,5.0,4.333333333333333,5.5,4.75,4.75,4.75,5.5,4.25,5.333333333333333,4.833333333333333,4.5,4.0,5.8,5.0,5.083333333333333,5.0,5.6,5.0,5.75,5.0
107302028.0,6.0,5.8,6.25,6.0,5.0,5.25,6.0,6.0,5.75,6.0,5.75,6.0,5.75,5.5,5.833333333333332,6.0,5.5,6.0,6.0,6.0,5.333333333333333,5.666666666666668,6.0,6.0,6.0,6.0
