,name,stats,p-value
0,goal_setting,0.7228170452317603,6.61502926662448e-05
1,environment_structuring,0.5358744394618834,0.006955276811493623
2,task_strategies,0.7090875198680665,0.0001048174881833083
3,time_management,0.6390002953083076,0.0007761193003929935
4,help_seeking,0.660805354795994,0.0004397194104485468
5,self_evaluation,0.7982413890096927,2.953551815100351e-06
6,rehearsal,0.5542879953401361,0.004944519446810718
7,elaboration,0.8394898856640282,2.928713253817531e-07
8,organization,0.7072733310650569,0.00011117698722323488
9,critical_thinking,0.8312327303933968,4.882546416648049e-07
10,metacognitive_selfregulation,0.799302604411897,2.80195103549595e-06
11,math_self_efficacy,0.8674196158620745,4.09939881320638e-08
12,internet_self_efficacy,0.8730227468047974,2.6196304082444194e-08
