,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,7.0,6.0,6.0,6.0,5.0,7.0,5.0,6.0,5.0,7.0,5.0,6.0,5.0,6.0,7.0,6.0,5.0,7.0,6.0,5.0,6.0,6.0,6.0,6.0,5.0,7.0,6.0,5.0,7.0,6.0,5.0,7.0,6.0,6.0,6.0,7.0,5.0,6.0,6.0,6.0,7.0,6.0,5.0,6.0,7.0,6.0,5.0,6.0,7.0,6.0,7.0,5.0,6.0,7.0,6.0,5.0,6.0,7.0,7.0,6.0,7.0,6.0,6.0,6.0
4,6.0,5.0,6.0,5.0,6.0,5.0,7.0,6.0,6.0,5.0,3.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,6.0,6.0,5.0,5.0,6.0,6.0,5.0,6.0,6.0,5.0,5.0,6.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,3.0,6.0,6.0,4.0,4.0,5.0,3.0,6.0,6.0,5.0,4.0,4.0,4.0,4.0,6.0,5.0,6.0,6.0,6.0,5.0
5,5.0,4.0,5.0,4.0,5.0,6.0,6.0,5.0,6.0,5.0,3.0,5.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,3.0,4.0,3.0,5.0,6.0,5.0,4.0,5.0,4.0,6.0,6.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,6.0,3.0,4.0,3.0,2.0,5.0,5.0,4.0,3.0,4.0,4.0,3.0,5.0,6.0,5.0,5.0,6.0,6.0
6,4.0,4.0,5.0,4.0,5.0,6.0,6.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,3.0,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0
7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,2.0,7.0,5.0,6.0,6.0,7.0,5.0,7.0,7.0,7.0,7.0,6.0,6.0,5.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,,,,,,,,,,,,7.0,7.0,7.0,7.0,7.0
8,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,2.0,4.0,5.0,5.0,4.0,5.0,5.0,3.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0
9,4.0,4.0,5.0,3.0,6.0,7.0,7.0,7.0,6.0,2.0,1.0,3.0,4.0,4.0,4.0,3.0,4.0,2.0,5.0,5.0,5.0,4.0,3.0,5.0,6.0,3.0,4.0,4.0,5.0,5.0,6.0,2.0,3.0,4.0,4.0,6.0,6.0,4.0,2.0,7.0,4.0,5.0,5.0,4.0,3.0,5.0,4.0,5.0,4.0,2.0,2.0,4.0,6.0,3.0,4.0,3.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,6.0
