,b_goal_setting,a_goal_setting,b_environment_structuring,a_environment_structuring,b_task_strategies,a_task_strategies,b_time_management,a_time_management,b_help_seeking,a_help_seeking,b_self_evaluation,a_self_evaluation,b_rehearsal,a_rehearsal,b_elaboration,a_elaboration,b_organization,a_organization,b_critical_thinking,a_critical_thinking,b_metacognitive_selfregulation,a_metacognitive_selfregulation,b_math_self_efficacy,a_math_self_efficacy,b_internet_self_efficacy,a_internet_self_efficacy
106801513.0,24.0,26.0,24.0,22.0,18.0,18.0,15.0,14.0,19.0,17.0,19.0,18.0,20.0,20.0,30.0,30.0,18.0,19.0,25.0,24.0,71.0,62.0,28.0,25.0,24.0,20.0
107203005.0,27.0,24.0,21.0,19.0,18.0,16.0,13.0,11.0,21.0,18.0,20.0,18.0,20.0,20.0,30.0,30.0,24.0,20.0,25.0,25.0,59.0,56.0,22.0,18.0,19.0,20.0
107203009.0,27.0,28.0,22.0,23.0,18.0,19.0,15.0,15.0,20.0,19.0,18.0,20.0,19.0,21.0,32.0,31.0,20.0,20.0,25.0,27.0,63.0,64.0,28.0,29.0,20.0,24.0
107206504.0,29.0,31.0,24.0,24.0,21.0,21.0,17.0,17.0,24.0,24.0,23.0,23.0,24.0,24.0,31.0,36.0,24.0,24.0,30.0,26.0,64.0,67.0,30.0,30.0,24.0,24.0
107206510.0,24.0,24.0,22.0,23.0,15.0,22.0,14.0,15.0,23.0,22.0,23.0,23.0,22.0,22.0,33.0,37.0,24.0,23.0,28.0,24.0,62.0,61.0,22.0,30.0,21.0,20.0
107206517.0,25.0,25.0,20.0,22.0,19.0,20.0,18.0,15.0,24.0,20.0,20.0,19.0,20.0,18.0,30.0,30.0,16.0,21.0,25.0,27.0,54.0,59.0,25.0,25.0,19.0,19.0
107206520.0,23.0,26.0,20.0,24.0,17.0,18.0,11.0,11.0,16.0,15.0,19.0,17.0,19.0,19.0,28.0,30.0,16.0,19.0,20.0,24.0,47.0,52.0,22.0,24.0,16.0,20.0
107206521.0,20.0,18.0,25.0,26.0,13.0,7.0,9.0,3.0,17.0,27.0,13.0,19.0,14.0,20.0,28.0,33.0,15.0,22.0,20.0,32.0,54.0,49.0,23.0,24.0,15.0,21.0
107208008.0,20.0,25.0,16.0,20.0,14.0,19.0,12.0,15.0,16.0,20.0,16.0,20.0,16.0,20.0,24.0,30.0,16.0,20.0,20.0,25.0,48.0,56.0,20.0,25.0,16.0,20.0
107302550.0,30.0,30.0,24.0,24.0,24.0,24.0,17.0,18.0,24.0,24.0,24.0,24.0,24.0,24.0,36.0,36.0,25.0,24.0,30.0,30.0,65.0,64.0,30.0,30.0,22.0,24.0
107304002.0,24.0,30.0,22.0,24.0,15.0,24.0,12.0,18.0,23.0,24.0,21.0,24.0,19.0,24.0,31.0,36.0,22.0,24.0,24.0,30.0,64.0,64.0,21.0,30.0,21.0,24.0
107304004.0,20.0,24.0,16.0,25.0,16.0,16.0,12.0,15.0,16.0,25.0,16.0,23.0,16.0,22.0,24.0,29.0,16.0,22.0,20.0,24.0,48.0,59.0,20.0,23.0,16.0,24.0
107304503.0,20.0,20.0,20.0,16.0,14.0,16.0,10.0,12.0,18.0,16.0,16.0,16.0,16.0,16.0,24.0,24.0,18.0,16.0,20.0,20.0,47.0,48.0,20.0,20.0,16.0,16.0
107304504.0,26.0,25.0,21.0,22.0,16.0,20.0,11.0,12.0,23.0,24.0,19.0,21.0,17.0,24.0,27.0,26.0,24.0,23.0,19.0,20.0,62.0,61.0,21.0,21.0,24.0,22.0
107304506.0,30.0,24.0,25.0,20.0,19.0,17.0,16.0,15.0,23.0,18.0,23.0,20.0,21.0,20.0,34.0,30.0,24.0,19.0,29.0,25.0,63.0,59.0,26.0,20.0,23.0,17.0
107801005.0,23.0,15.0,18.0,12.0,13.0,17.0,12.0,12.0,28.0,17.0,16.0,16.0,13.0,17.0,21.0,24.0,19.0,18.0,19.0,23.0,45.0,50.0,15.0,19.0,28.0,17.0
107801006.0,25.0,20.0,23.0,16.0,15.0,16.0,12.0,12.0,16.0,16.0,16.0,16.0,16.0,16.0,24.0,24.0,16.0,16.0,20.0,20.0,48.0,48.0,20.0,20.0,16.0,16.0
